Word,T1,T2,T3,T4,T5,T6,T7,syllable,Lcount_max,Lcount_1,Lcount_2,Lcount_3,mu,sigma
cater,1,7,19,22,19,18,15,2,1,3,2,0,4.633663366336633,1.546140338418126
movie,1,5,18,30,26,16,3,2,1,3,1,1,4.363636363636363,1.2346393204523247
saute,1,8,31,34,19,6,1,2,1,3,2,0,3.84,1.1019981851164729
allow,0,5,21,32,26,14,3,2,2,4,0,1,4.316831683168317,1.1767608930416649
renew,0,4,20,33,27,13,2,2,2,4,0,1,4.313131313131313,1.1159673490613438
their,2,14,36,30,13,4,0,1,1,3,2,0,3.505050505050505,1.0765989975332708
slosh,0,2,19,36,27,13,2,1,2,4,1,0,4.363636363636363,1.0584393452468472
purge,1,4,22,35,26,11,2,2,1,2,2,1,4.207920792079208,1.13727859717287
chest,1,14,35,31,14,5,1,1,1,2,3,0,3.613861386138614,1.1254948045387072
depot,0,5,29,36,20,7,1,2,1,2,3,0,3.979591836734694,1.0398154451311834
epoxy,0,2,13,31,33,18,3,3,1,2,2,1,4.61,1.0760576192751017
nymph,1,2,18,44,26,26,9,1,1,1,4,0,4.634920634920635,1.2446914234993869
found,1,6,17,22,20,21,14,1,1,2,2,1,4.712871287128713,1.5046899201198314
shall,0,3,17,30,28,17,4,1,2,4,1,0,4.515151515151516,1.1665682760557672
stove,0,5,16,24,27,21,6,2,1,3,1,1,4.616161616161616,1.284775425151079
lowly,0,2,9,26,32,24,8,2,2,3,1,1,4.900990099009901,1.156171134811485
snout,1,4,19,27,26,18,5,1,1,3,2,0,4.47,1.284172885557081
trope,1,16,33,28,15,6,1,2,1,3,2,0,3.62,1.1813551540497886
fewer,0,2,10,24,32,26,6,2,2,3,0,2,4.88,1.1426285485668561
shawl,0,3,16,31,30,16,3,1,1,3,1,1,4.494949494949495,1.1225308470147912
natal,0,2,14,32,32,17,3,2,2,4,1,0,4.57,1.0793979803575695
comma,0,2,13,33,33,17,3,2,2,2,3,0,4.584158415841584,1.0648973987919803
foray,0,2,14,31,31,19,4,2,1,3,1,1,4.623762376237623,1.1156091897824374
scare,1,12,23,26,21,13,4,2,1,4,1,0,4.09,1.371823603820841
stair,2,21,36,26,11,4,1,1,1,4,1,0,3.386138613861386,1.1601493334203585
black,1,10,31,34,18,6,1,1,1,2,2,1,3.792079207920792,1.1197315067423312
squad,0,3,20,33,27,14,2,1,1,2,2,1,4.353535353535354,1.1038329118281336
royal,1,5,24,36,23,9,1,1,1,4,1,0,4.070707070707071,1.103278175427325
chunk,1,4,29,42,18,5,1,1,1,1,3,1,3.91,1.000949549178179
mince,0,6,24,35,24,10,1,2,1,3,2,0,4.11,1.094486180817282
shame,1,11,22,25,21,15,5,2,1,3,2,0,4.19,1.4049555153100042
cheek,0,3,19,40,28,9,1,1,2,2,2,1,4.24,0.9911609354691095
ample,0,4,20,35,27,11,2,2,1,3,2,0,4.2727272727272725,1.0900670150669665
flair,1,8,30,36,18,6,1,1,1,4,0,1,3.84,1.09288608738514
foyer,0,2,10,19,19,23,26,1,1,3,1,1,5.303030303030303,1.4031317457927543
cargo,0,5,20,34,27,12,2,2,1,3,1,1,4.27,1.1212047092302102
oxide,0,2,11,30,33,21,4,3,1,3,1,1,4.712871287128713,1.0930621322766403
plant,2,19,39,28,10,3,0,1,1,3,2,0,3.3366336633663365,1.0462306479776664
olive,1,6,25,34,23,10,1,3,1,4,0,1,4.06,1.1385956261992225
inert,0,7,27,34,22,9,1,2,1,4,1,0,4.02,1.1043550153822819
askew,0,3,13,29,32,19,4,2,1,3,0,2,4.63,1.1371455491712572
heist,1,13,32,31,16,6,1,1,1,3,2,0,3.7,1.1532562594670794
shown,0,6,26,36,22,8,1,1,1,3,1,1,4.03030303030303,1.067940011315521
zesty,0,2,12,27,30,22,7,2,1,2,2,1,4.79,1.1772425408555367
tash,2,19,34,27,13,4,1,1,1,2,2,0,3.46,1.1697863052711808
larva,0,2,10,25,35,23,4,2,2,4,0,1,4.797979797979798,1.0915635896726077
forgo,0,1,9,26,37,23,3,2,2,3,0,2,4.818181818181818,1.018650685695249
story,1,10,23,29,24,11,2,2,1,3,2,0,4.06,1.2555476892575606
hairy,1,8,24,33,23,10,1,2,1,3,2,0,4.03,1.1700854669638452
train,6,26,32,22,10,3,0,1,1,4,1,0,3.1313131313131315,1.177623567013307
homer,0,3,16,26,24,19,12,2,1,3,2,0,4.76,1.3350655414622907
badge,0,4,20,35,26,12,2,2,1,2,2,1,4.282828282828283,1.1013343976112333
midst,0,3,25,39,24,9,1,1,1,2,3,0,4.138613861386139,1.0150325846625192
canny,0,2,10,30,34,20,4,2,2,3,2,0,4.72,1.0777754868245986
shine,1,14,32,30,17,6,1,2,1,4,1,0,3.6930693069306932,1.1667215152753676
gecko,0,2,16,38,29,12,2,2,1,2,1,2,4.393939393939394,1.023148061583887
farce,0,9,26,32,21,9,1,2,1,3,1,1,3.979591836734694,1.1426749125852587
slung,0,2,16,37,31,13,2,1,1,3,1,1,4.425742574257426,1.0277971700879984
tipsy,0,6,33,38,17,5,1,2,1,2,3,0,3.85,1.0037429949942367
metal,1,10,31,34,18,7,1,2,1,3,2,0,3.8137254901960786,1.1352670253125536
yield,0,4,16,29,29,18,4,1,1,3,2,0,4.53,1.187055179846329
delve,0,2,14,32,33,16,2,2,2,3,1,1,4.5353535353535355,1.0474898453077504
being,0,4,22,37,26,10,1,1,1,3,1,1,4.19,1.0458967444255671
scour,0,8,34,35,17,5,1,1,1,3,2,0,3.8,1.0392304845413265
glass,0,4,19,33,27,14,3,1,2,4,0,1,4.37,1.1459057552870566
gamer,1,4,17,28,26,18,6,2,1,3,1,1,4.52,1.2921300244170475
scrap,1,9,28,34,20,8,1,1,1,3,2,0,3.900990099009901,1.1475755804186742
money,1,7,26,36,21,8,1,2,1,3,2,0,3.97,1.1176314240392493
hinge,0,5,25,37,22,9,2,2,1,3,1,1,4.11,1.094486180817282
album,0,5,26,35,24,9,1,2,1,2,3,0,4.09,1.0685972113008717
vouch,0,2,9,25,33,24,6,1,1,1,3,1,4.8686868686868685,1.124982286248554
asset,0,7,28,34,21,8,1,2,2,4,1,0,3.9797979797979797,1.0915635896726077
tiara,0,8,36,33,17,6,1,2,2,4,1,0,3.801980198019802,1.062593520452149
crept,0,4,27,38,22,7,1,1,1,2,3,0,4.040404040404041,1.0142339689746438
bayou,0,6,17,33,29,13,2,1,1,2,3,0,4.32,1.1391224692718511
atoll,0,6,28,36,21,8,1,2,2,4,1,0,4.0,1.0677078252031311
manor,0,6,27,34,21,10,2,2,1,4,1,0,4.08,1.1373653766490346
creak,0,5,21,32,25,14,3,1,1,3,1,1,4.31,1.1806354221350468
showy,0,2,16,37,30,13,2,2,1,2,2,1,4.42,1.031309846748299
peach,1,13,38,32,13,3,0,1,1,2,3,0,3.52,1.0047885349664378
froth,0,5,22,35,25,11,1,1,1,2,2,1,4.181818181818182,1.0858468404344799
depth,0,6,28,39,20,6,1,1,1,1,4,0,3.95,1.023474474522936
gloom,0,2,14,35,35,13,1,1,2,3,1,1,4.46,0.9840731680114035
flood,0,3,20,40,28,8,1,1,2,3,1,1,4.21,0.9828021163998376
trait,0,6,22,35,24,11,2,1,2,3,2,0,4.18,1.1347246362003425
girth,0,6,23,33,23,12,3,1,1,2,2,1,4.21,1.1857065404222076
piety,0,4,25,41,22,7,1,2,1,2,3,0,4.06,0.9981983770774223
goose,0,2,12,28,32,21,5,2,2,4,0,1,4.73,1.1300884921102419
float,1,12,30,32,18,6,1,1,1,3,1,1,3.76,1.149956520917204
donor,0,3,27,38,23,7,1,2,2,4,1,0,4.070707070707071,0.9974971228790713
atone,2,16,34,29,14,4,1,3,1,4,1,0,3.53,1.1528659939472583
primo,0,3,22,38,25,10,2,2,1,3,2,0,4.23,1.056929515152264
apron,0,7,30,38,19,5,1,2,1,4,1,0,3.88,1.0225458424931373
blown,0,6,23,35,26,10,1,1,1,3,1,1,4.138613861386139,1.0902784000019592
cacao,0,1,9,27,36,23,4,2,2,3,2,0,4.83,1.039759587597056
loser,1,10,28,32,19,8,2,2,1,5,0,0,3.9,1.2041594578792296
input,0,5,30,38,21,6,1,2,1,2,3,0,3.9603960396039604,1.0139696724350185
gloat,0,8,21,31,26,12,2,1,1,3,1,1,4.19,1.1890752709563845
awful,0,5,21,33,27,12,2,2,1,2,1,2,4.26,1.1280070921762861
brink,0,4,22,41,24,7,1,1,1,3,1,1,4.111111111111111,0.9938079899999065
smite,0,6,23,35,24,11,2,2,1,3,2,0,4.1683168316831685,1.1351216354824962
beady,0,3,19,39,29,10,1,2,1,2,3,0,4.267326732673268,1.0038647014365605
rusty,0,9,37,34,13,5,1,2,1,2,3,0,3.707070707070707,1.037211931555025
retro,0,6,24,35,24,9,1,2,2,4,1,0,4.090909090909091,1.083306844346635
droll,0,2,16,31,31,17,3,1,2,4,1,0,4.54,1.0992724866929036
gawky,0,1,5,22,33,28,10,2,1,1,1,3,5.1313131313131315,1.0884746499413491
hutch,0,1,12,28,28,21,9,1,2,0,5,0,4.838383838383838,1.1866859949657673
pinto,0,5,25,41,22,6,1,2,1,3,2,0,4.02,0.999799979995999
egret,0,3,14,33,33,15,2,2,2,3,1,1,4.49,1.0629675441893793
lilac,0,2,17,38,29,12,1,2,2,4,1,0,4.353535353535354,0.9981106526897475
sever,0,2,13,27,29,21,7,2,2,4,0,1,4.757575757575758,1.189948722186173
field,1,6,25,36,23,9,1,1,1,3,1,1,4.03960396039604,1.116224116741883
fluff,0,0,4,25,44,23,4,1,3,1,1,3,4.98,0.8942035562443262
agape,0,2,18,36,27,15,3,3,2,3,1,1,4.435643564356436,1.0937793647240772
voice,1,5,24,35,25,9,1,2,1,3,1,1,4.09,1.1053958566956907
stead,1,6,20,27,28,16,3,1,1,3,2,0,4.336633663366337,1.2608124657213156
berth,0,7,24,35,24,9,1,1,1,2,3,0,4.07,1.0977704678119191
madam,0,3,13,35,34,14,2,2,2,2,3,0,4.485148514851486,1.039933941029773
night,1,8,27,27,17,13,7,1,1,2,2,1,4.18,1.402711659607918
bland,0,7,31,38,18,4,0,1,1,3,2,0,3.806122448979592,0.9546680507103313
liver,0,4,16,26,25,20,8,2,1,4,0,1,4.656565656565657,1.2961607345270185
wedge,0,2,11,32,37,17,2,2,2,2,1,2,4.6138613861386135,1.01445295241691
roomy,0,2,17,41,28,10,2,2,2,3,2,0,4.33,1.0005498488331304
wacky,0,3,18,39,27,10,2,2,1,1,2,2,4.292929292929293,1.037211931555025
flock,0,4,22,37,27,9,1,1,1,2,1,2,4.18,1.033247308247159
angry,0,5,27,38,21,7,1,2,1,3,1,1,4.01010101010101,1.029807763711752
trite,0,4,14,22,22,23,15,2,2,3,2,0,4.91,1.4006784070585225
aphid,0,6,24,36,23,9,2,2,1,2,3,0,4.11,1.1126095451684748
tryst,0,3,26,41,23,6,1,1,2,2,3,0,4.06,0.9676776322722355
midge,0,2,18,39,28,10,2,2,1,2,2,1,4.3232323232323235,1.0133281780997538
power,2,6,19,29,24,15,4,2,1,3,1,1,4.292929292929293,1.3200285063689998
elope,0,4,22,32,26,13,2,3,2,4,1,0,4.282828282828283,1.128513852802773
cinch,0,2,15,24,22,25,13,1,2,2,3,0,4.910891089108911,1.328283414683243
motto,0,1,11,36,36,14,1,2,2,2,3,0,4.545454545454546,0.9349847648813038
stomp,0,7,26,32,21,11,2,1,1,2,3,0,4.090909090909091,1.1728486351735532
upset,0,5,30,38,20,6,1,2,1,2,3,0,3.95,1.0136567466356647
bluff,0,2,14,42,31,10,1,1,2,1,2,2,4.36,0.943610088966836
cramp,1,8,26,33,19,10,2,1,1,2,3,0,4.0,1.2060453783110545
quart,0,5,20,33,27,13,2,1,1,2,2,1,4.29,1.1339753083731585
coyly,0,0,4,17,28,35,15,2,2,2,3,0,5.404040404040404,1.0628643586235074
youth,1,5,17,31,29,15,3,1,1,1,4,0,4.376237623762377,1.2092996512466396
rhyme,0,4,22,39,25,8,1,2,1,2,3,0,4.141414141414141,1.0151389516283729
buggy,0,1,9,29,34,22,5,2,2,0,3,2,4.82,1.0618851161966627
alien,3,17,31,29,15,4,0,3,1,5,0,0,3.484848484848485,1.1491203167186994
smear,0,2,16,39,29,12,2,1,1,4,1,0,4.39,1.0187737727287642
unfit,0,3,24,38,25,9,1,2,1,2,2,1,4.16,1.0170545708072896
patty,0,2,16,39,29,12,1,2,2,1,4,0,4.363636363636363,0.989383498019061
cling,0,4,20,34,27,13,2,1,1,3,1,1,4.31,1.1108105148944172
glean,0,6,23,37,24,8,1,1,1,4,0,1,4.08080808080808,1.0605579594672072
label,0,4,18,32,29,15,2,2,2,4,1,0,4.39,1.1215614116043757
hunky,0,1,11,33,25,22,7,2,1,1,3,1,4.777777777777778,1.1508060903940296
khaki,0,2,17,33,28,16,4,2,2,2,1,2,4.51,1.1268983982595768
poker,0,4,17,30,27,17,5,2,1,3,1,1,4.51,1.2123943252918992
gruel,0,3,19,39,29,9,1,1,1,3,1,1,4.25,0.9937303457175896
twice,1,6,28,38,21,6,1,2,1,2,2,1,3.9306930693069306,1.0648053393667993
twang,0,3,22,43,25,7,1,1,1,2,1,2,4.138613861386139,0.9650291430503926
shrug,0,4,23,36,26,10,1,1,1,2,2,1,4.18,1.0524257693538295
treat,1,22,32,26,14,5,1,1,2,3,2,0,3.485148514851485,1.1991239490853611
waste,1,7,19,27,24,17,5,2,1,3,1,1,4.37,1.3390668392578469
merit,0,7,33,37,17,5,0,2,1,3,2,0,3.797979797979798,0.9742108744387465
woven,0,2,13,32,32,17,3,2,1,3,0,2,4.585858585858586,1.0731818169934082
needy,0,2,21,41,26,9,1,2,2,3,2,0,4.22,0.975499871860576
clown,1,8,29,36,20,6,1,1,1,3,1,1,3.871287128712871,1.0960176909809627
irony,0,6,29,34,21,8,1,3,1,4,1,0,3.98989898989899,1.0777356499676074
ruder,0,2,16,33,29,16,4,2,2,3,2,0,4.53,1.117631424039249
gauze,0,2,11,24,31,25,8,2,1,2,1,2,4.891089108910891,1.184896620790435
chief,1,6,32,38,18,5,0,1,1,2,2,1,3.81,0.9969453345093702
onset,0,4,29,40,21,6,1,2,1,4,1,0,3.99009900990099,0.9899999950490098
prize,0,5,12,20,32,26,5,2,1,3,1,1,4.77,1.2397983707038822
fungi,0,2,18,41,28,9,1,2,1,2,1,2,4.2727272727272725,0.9620913858416692
charm,1,12,32,34,16,5,1,1,1,2,3,0,3.702970297029703,1.1128818575305754
gully,0,1,9,27,31,25,7,2,2,2,2,1,4.91,1.1144056711987784
inter,0,6,25,36,23,8,1,2,1,4,1,0,4.05050505050505,1.0671754219844194
whoop,0,1,16,47,29,7,1,1,2,2,2,1,4.2772277227722775,0.880130637031429
taunt,0,4,19,27,21,16,13,1,2,2,3,0,4.65,1.3955285736952865
leery,0,3,17,37,28,12,2,2,2,4,1,0,4.353535353535354,1.0570889254101923
class,0,4,21,32,22,13,7,1,2,4,1,0,4.404040404040404,1.2626666660202228
theme,0,8,29,40,18,4,0,2,2,2,3,0,3.808080808080808,0.9606055295328275
lofty,0,4,19,34,27,13,3,2,1,2,2,1,4.35,1.1346805717910218
tibia,0,1,14,40,30,12,2,2,2,3,2,0,4.444444444444445,0.9767211922128138
booze,0,1,7,27,38,23,4,2,2,3,1,1,4.87,1.0065286881157438
alpha,0,3,19,40,28,9,1,2,2,3,2,0,4.24,0.9911609354691095
thyme,1,5,24,41,23,5,0,2,1,1,4,0,3.95959595959596,0.9839026797483572
doubt,1,12,32,34,16,4,0,1,1,1,4,0,3.6464646464646466,1.0474898453077504
parer,0,0,4,11,15,22,48,3,2,4,1,0,5.99,1.1957842614786334
chute,0,11,37,36,12,3,0,2,1,1,4,0,3.585858585858586,0.9429172549587848
stick,1,9,36,35,14,4,0,1,1,2,2,1,3.6464646464646466,0.9981106526897475
trice,0,5,24,25,18,17,11,2,1,3,2,0,4.51,1.4247455913249916
alike,0,6,20,33,27,12,2,3,1,4,0,1,4.25,1.1434596626029272
recap,0,5,30,35,21,8,1,2,1,3,2,0,4.0,1.0583005244258363
saint,1,14,35,29,15,5,1,1,1,4,1,0,3.62,1.1382442620105757
glory,0,6,30,39,19,5,0,2,1,3,1,1,3.8686868686868685,0.9602868326383943
grate,1,14,29,28,16,8,3,2,1,3,1,1,3.808080808080808,1.2923767758837943
admit,0,10,25,34,22,8,1,2,1,2,3,0,3.96,1.1306635220082055
brisk,0,5,23,38,24,7,1,1,1,3,1,1,4.081632653061225,1.0269180102374798
soggy,0,2,18,38,28,11,2,2,2,2,1,2,4.343434343434343,1.026533011386869
usurp,0,3,21,38,26,9,1,2,2,2,3,0,4.204081632653061,1.0097401532124881
scald,0,4,23,36,24,11,2,1,1,3,2,0,4.21,1.098134782255803
scorn,0,8,31,35,20,6,1,1,1,4,1,0,3.881188118811881,1.065081493771105
leave,0,4,16,34,31,12,1,2,2,4,0,1,4.346938775510204,1.050772707090286
twine,0,6,28,40,20,5,1,2,1,3,1,1,3.93,1.002546757014355
sting,1,10,30,33,18,8,2,1,1,3,1,1,3.872549019607843,1.1937054570476393
bough,0,3,17,35,28,13,3,1,1,1,3,1,4.404040404040404,1.1002221255911193
marxh,0,9,30,35,19,6,1,1,1,2,2,1,3.86,1.0772186407596183
sloth,1,10,38,34,13,3,0,1,1,3,2,0,3.5757575757575757,0.9753622387533989
dandy,0,2,11,23,29,24,11,2,2,2,3,0,4.95,1.2359207094308273
vigor,0,2,15,35,31,14,2,2,1,3,0,2,4.4646464646464645,1.037801982952834
howdy,0,2,13,32,32,17,4,2,1,1,3,1,4.61,1.0944861808172819
enjoy,0,3,12,29,33,20,3,2,1,3,1,1,4.64,1.1092339699089637
valid,0,4,28,38,21,8,1,2,1,3,1,1,4.04,1.0287856919689347
ionic,0,2,13,25,28,21,11,2,2,4,1,0,4.86,1.257139610385418
equal,0,5,23,35,25,11,2,2,1,3,1,1,4.198019801980198,1.1171019966390763
floor,0,3,23,44,24,6,0,1,2,4,0,1,4.07,0.9083501527494781
catch,0,7,18,20,15,16,23,1,2,1,4,0,4.848484848484849,1.622839738060107
spade,1,8,29,36,19,6,1,2,1,3,2,0,3.86,1.0956276739841868
stein,1,12,34,32,16,5,1,1,1,4,1,0,3.6831683168316833,1.116311935798448
exist,0,5,24,38,23,8,1,2,1,3,1,1,4.08080808080808,1.0413352702108989
quirk,0,3,23,39,24,9,2,1,1,2,1,2,4.19,1.0458967444255671
denim,0,5,29,40,20,5,0,2,1,3,2,0,3.909090909090909,0.9437825152968143
grove,0,4,18,30,28,17,3,2,1,3,0,2,4.45,1.16940155635265
spiel,0,7,32,36,19,6,1,1,1,4,1,0,3.881188118811881,1.0463243416731014
mummy,0,1,4,14,27,37,18,2,3,0,5,0,5.475247524752476,1.1133222017323243
fault,0,7,27,35,22,8,1,1,1,2,2,1,4.0,1.0862780491200215
foggy,0,2,13,35,32,15,3,2,2,1,1,3,4.54,1.0528057750601485
flout,0,6,28,37,21,7,1,1,1,2,2,1,3.98,1.0486181383134663
carry,0,4,22,35,24,12,3,2,2,3,2,0,4.27,1.1389029809426263
sneak,0,7,28,36,21,7,1,1,1,4,0,1,3.96,1.0669582934679311
libel,0,3,15,32,32,16,2,2,2,4,1,0,4.49,1.0816191566350886
waltz,0,2,11,29,35,19,3,1,1,2,1,2,4.6767676767676765,1.0620000459232888
aptly,0,3,26,41,23,7,1,2,1,2,3,0,4.079207920792079,0.9818467981242114
piney,0,1,14,37,33,14,2,2,1,3,2,0,4.5049504950495045,0.9912864166957488
inept,0,6,30,39,20,6,1,2,1,3,2,0,3.9313725490196076,1.0219148109383045
aloud,1,18,31,30,15,4,1,2,1,3,2,0,3.56,1.1516944039110373
photo,0,5,34,43,15,3,0,2,2,2,3,0,3.77,0.8701149349367588
dream,5,14,31,29,15,4,1,1,1,3,2,0,3.515151515151515,1.2256817221913143
stale,2,19,30,27,15,6,2,2,1,4,1,0,3.594059405940594,1.2756533392797154
begin,0,6,26,36,23,7,1,2,1,3,1,1,4.02020202020202,1.0538989465270703
spell,0,4,24,37,24,9,1,1,2,4,1,0,4.1313131313131315,1.0410412876321675
rainy,1,16,38,31,11,3,1,2,1,4,1,0,3.4752475247524752,1.0679309078212935
unite,1,11,31,33,18,5,1,3,1,3,2,0,3.75,1.116915395184434
medal,0,5,25,38,23,8,1,2,1,3,2,0,4.07,1.0416813332300816
valet,0,4,22,38,25,9,1,2,1,3,1,1,4.161616161616162,1.0318862859896674
inane,0,8,25,30,21,13,3,3,2,5,0,0,4.15,1.2439855304624732
maple,1,6,26,36,21,8,1,2,1,3,2,0,3.98989898989899,1.1054954508351273
snarl,0,5,21,31,24,15,4,1,1,5,0,0,4.35,1.2196310917650468
baker,0,5,16,23,24,22,10,2,1,3,1,1,4.72,1.364404632064843
there,0,14,35,33,14,4,0,2,2,3,2,0,3.59,1.020735029280371
glyph,0,2,23,49,20,5,1,1,1,1,3,1,4.06,0.8924124606929242
avert,0,7,26,35,22,9,1,2,1,3,1,1,4.03,1.0995908329919815
brave,1,6,17,27,27,18,5,2,1,3,1,1,4.455445544554456,1.308954328902814
axiom,0,5,19,33,27,13,3,2,1,3,1,1,4.33,1.1580587204455568
prime,1,10,26,32,21,9,1,2,1,3,2,0,3.93,1.18536914081648
drive,1,12,32,30,18,6,1,2,1,3,1,1,3.74,1.1542963224406464
feast,5,13,25,27,19,10,2,1,1,3,1,1,3.792079207920792,1.3881880182180384
itchy,0,8,28,40,18,5,1,2,1,1,4,0,3.87,1.0262066068779716
clen,1,17,36,31,12,3,0,1,1,3,1,0,3.45,1.0331989159885915
happy,0,6,28,39,19,6,1,2,2,1,4,0,3.9393939393939394,1.0231480615838868
tepid,0,10,38,35,13,3,0,2,1,2,3,0,3.606060606060606,0.9408590725006075
undue,0,3,19,35,29,13,2,2,2,2,3,0,4.356435643564357,1.0770711883938546
eject,0,2,11,35,36,14,2,2,2,2,2,1,4.55,0.9937303457175897
chafe,0,6,30,33,19,9,2,2,1,2,2,1,4.01010101010101,1.1325750537704873
