Word,Difficulty
input,3.9603960396039604
loser,3.9000000000000004
cacao,4.83
blown,4.138613861386139
apron,3.8799999999999994
primo,4.2299999999999995
atone,3.53
donor,4.070707070707071
float,3.7599999999999993
goose,4.7299999999999995
piety,4.06
girth,4.21
trait,4.18
flood,4.21
gloom,4.46
depth,3.9499999999999997
froth,4.181818181818182
peach,3.52
showy,4.42
creak,4.31
manor,4.08
atoll,4.0
bayou,4.32
crept,4.040404040404041
tiara,3.801980198019802
asset,3.9797979797979797
vouch,4.8686868686868685
album,4.09
hinge,4.11
money,3.9699999999999998
scrap,3.9009900990099013
gamer,4.5200000000000005
glass,4.37
scour,3.8
being,4.1899999999999995
delve,4.5353535353535355
yield,4.53
metal,3.8137254901960786
tipsy,3.8499999999999996
slung,4.425742574257426
farce,3.9795918367346936
gecko,4.393939393939394
shine,3.693069306930693
canny,4.720000000000001
midst,4.13861386138614
badge,4.282828282828283
homer,4.76
train,3.1313131313131315
hairy,4.03
story,4.06
forgo,4.8181818181818175
larva,4.7979797979797985
tash, 3.4599999999999995
zesty,4.79
shown,4.03030303030303
heist,3.6999999999999993
askew,4.63
inert,4.0200000000000005
olive,4.0600000000000005
plant,3.336633663366337
oxide,4.7128712871287135
cargo,4.27
foyer,5.303030303030304
flair,3.8399999999999994
ample,4.2727272727272725
cheek,4.24
shame,4.19
mince,4.109999999999999
chunk,3.9099999999999993
royal,4.070707070707071
squad,4.353535353535353
black,3.7920792079207923
stair,3.3861386138613865
scare,4.090000000000001
foray,4.623762376237624
comma,4.584158415841585
natal,4.569999999999999
shawl,4.494949494949495
fewer,4.88
trope,3.62
snout,4.47
lowly,4.900990099009901
stove,4.616161616161616
shall,4.515151515151515
found,4.712871287128713
nymph,4.634920634920635
epoxy,4.61
depot,3.979591836734694
chest,3.613861386138614
purge,4.207920792079208
slosh,4.363636363636363
their,3.505050505050505
renew,4.313131313131312
allow,4.316831683168317
saute,3.84
movie,4.363636363636363
cater,4.633663366336634
tease,3.647058823529412
smelt,4.31
focus,4.131313131313132
today,3.9099999999999997
watch,4.96
lapse,3.89
month,4.0200000000000005
sweet,4.33
hoard,3.851485148514852
cloth,3.8217821782178216
brine,4.089108910891089
ahead,4.227722772277228
mourn,3.9000000000000004
nasty,4.0606060606060606
rupee,4.38
choke,3.8399999999999994
chant,3.7899999999999996
spill,4.09
vivid,4.7
bloke,4.191919191919191
trove,4.633663366336634
thorn,3.505050505050505
other,4.0
tacit,4.306930693069307
swill,5.08
dodge,4.613861386138614
shake,4.62
caulk,4.34
aroma,4.1000000000000005
cynic,4.1000000000000005
robin,3.96
ultra,4.07
ulcer,4.3999999999999995
pause,4.0200000000000005
humor,4.18
frame,4.242424242424242
elder,4.709999999999999
skill,4.42
aloft,4.198019801980198
pleat,3.9200000000000004
shard,4.257425742574258
moist,3.6633663366336635
those,3.67
light,4.101010101010101
wrung,4.35
could,3.9306930693069306
perky,4.45
mount,3.858585858585858
whack,4.169999999999999
sugar,4.04040404040404
knoll,4.71
crimp,3.9599999999999995
wince,4.415841584158416
prick,3.8686868686868685
robot,3.9108910891089113
point,3.5050505050505047
proxy,4.821782178217822
shire,3.891089108910891
solar,3.8199999999999994
panic,3.732673267326733
tangy,4.37
abbey,4.6060606060606055
favor,4.57
drink,3.732673267326733
query,4.43
gorge,4.640000000000001
crank,4.22
slump,4.13
