title,genres,keywords,director,cast,budget,revenue,popularity,vote_average,runtime,production_companies,year,month,overview,cast_revenue,director_revenue
The Expendables 2,"['Action', 'Adventure', 'Thriller']","['airplane', 'number in title', 'airplane crash', 'violence', 'beard', 'ensemble cast', 'loss of friend', 'wisecrack humor', 'airport lounge', 'asian woman']",Simon West,"['Sylvester Stallone', 'Jason Statham', 'Dolph Lundgren', 'Bruce Willis', 'Arnold Schwarzenegger', 'Jean-Claude Van Damme', 'Chuck Norris', 'Scott Adkins', 'Liam Hemsworth', 'Jet Li', 'Randy Couture', 'Terry Crews', 'Charisma Carpenter', 'Nikolette Noel', 'Nan Yu', 'Amanda Ooms', 'George Zlatarev']",100000000,312573423,53.732892,6.1,103.0,"['Nu Image Films', 'Millennium Films']",2012,8.0,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",134404311.3846154,141484222.8
National Treasure,"['Adventure', 'Action', 'Thriller', 'Mystery']","['riddle', 'treasure', 'treasure hunt', 'archaeologist', 'archeology\xa0']",Jon Turteltaub,"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Sean Bean', 'Jon Voight', 'Harvey Keitel', 'Christopher Plummer', 'David Dayan Fisher', 'Stewart Finlay-McLennan', 'Oleg Taktarov', 'Stephen A. Pope', 'Annie Parisse', 'Mark Pellegrino', 'Armando Riesco', 'Erik King', 'Don McManus', 'Ron Canada', 'Hunter Gomez', 'Deborah Yates', 'Arabella Field', 'Sharon Wilkins', 'Alexandra Balahoutis', 'Dior Raye', 'Yves Michel-Beneche', 'Jason Earles', 'Terrence Currier', 'Rod McLachlan', 'Elizabeth Greenberg', 'Jody Halse', 'Liam Noble', 'Joshua Bitton', 'Michael Russo', 'Fern D. Baguidy Jr.', 'Thomas Q. Morris', 'Antony Alda', 'John Travis', 'Heidi Albertsen', 'Adriana Alveario']",100000000,347451894,58.849256,6.4,131.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Junction Entertainment']",2004,11.0,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",116623779.96,191709521.5
Eragon,"['Fantasy', 'Action', 'Adventure', 'Family']","['based on novel', 'mythical creature', 'dragon', 'fantasy world', 'teenage hero', 'based on young adult novel']",Stefen Fangmeier,"['Ed Speleers', 'Jeremy Irons', 'Sienna Guillory', 'Robert Carlyle', 'Djimon Hounsou', 'Garrett Hedlund', 'Joss Stone', 'Rachel Weisz', 'John Malkovich', 'Alun Armstrong', 'Christopher Egan', 'Gary Lewis', 'Steve Speirs', 'Caroline Chikezie', 'Richard Rifkin']",100000000,249288105,30.863434,4.9,104.0,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Major Studio Partners', 'Fox 2000 Pictures', 'Davis Entertainment', 'Mid Atlantic Films']",2006,12.0,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",137316552.5,249288105.0
Where the Wild Things Are,"['Family', 'Fantasy']","[""children's book"", 'igloo', 'wolf costume', 'swallowed whole', 'hit with a rock', 'lying', 'falling down a hill', 'snowball fight', ""children's perspectives""]",Spike Jonze,"['Max Records', 'Catherine Keener', 'Lauren Ambrose', 'James Gandolfini', ""Catherine O'Hara"", 'Forest Whitaker', 'Mark Ruffalo', 'Pepita Emmerichs', 'Madeleine Greaves', 'Joshua Jay', 'Steve Mouzakis', 'Paul Dano', 'Michael Berry Jr.', 'Chris Cooper', 'Ryan Corr', 'Max Pfeifer', 'Spike Jonze']",100000000,100086793,31.586215,6.4,101.0,"['Village Roadshow Pictures', 'Legendary Pictures', 'Playtone', 'Wild Things Productions', 'Warner Bros.']",2009,10.0,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts -- Ira, Carol, Douglas, the Bull, Judith and Alexander -- crown him as their king, play rumpus, build forts and discover secret hideaways.",46853248.333333336,60079739.0
Epic,"['Animation', 'Adventure', 'Family', 'Fantasy']","['fantasy', 'miniature people']",Chris Wedge,"['Josh Hutcherson', 'Amanda Seyfried', 'Colin Farrell', 'Jason Sudeikis', 'Aziz Ansari', 'Beyoncé Knowles', 'Judah Friedlander', 'Steven Tyler', 'Pitbull', 'Blake Anderson', 'Christoph Waltz', 'John DiMaggio', 'Allison Bills', 'Todd Cummings', 'Troy Evans', 'Emma Kenney', 'Jason Harris', 'Jim Conroy', 'Jason Fricchione', 'Helen Hong', 'Kelly Keaton', 'Kyle Kinane', 'Anthony Lumia', 'Malikha Mallette', 'Rosa Salazar']",100000000,268426634,36.711378,6.4,102.0,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",2013,5.0,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.,307276687.2307692,304126921.3333333
The Tourist,"['Action', 'Thriller', 'Romance']","['paris', 'hotel', 'false identity', 'undercover agent', 'romance']",Florian Henckel von Donnersmarck,"['Johnny Depp', 'Angelina Jolie', 'Paul Bettany', 'Timothy Dalton', 'Steven Berkoff', 'Rufus Sewell', 'Christian De Sica', 'Alessio Boni', 'Daniele Pecci', 'Giovanni Guidelli', 'Raoul Bova', 'Bruno Wolkowitch', 'Julien Baumgartner', 'François Vincentelli', 'Clément Sibony', 'Jean-Claude Adelin', 'Jean-Marie Lamour', 'Nicolas Guillot', 'Mhamed Arezki', 'Igor Jijikine', 'Vladimir Orlov', 'Vladimir Tevlovski', 'Alec Utgoff', 'Mark Zak', 'Neri Marcorè', 'Gabriele Gallinari', 'Riccardo De Torrebruna', 'Maurizio Casagrande', 'Nino Frassica', 'Gwilym Lee', 'Steven Robertson', 'Iddo Goldberg', 'Renato Scarpa', 'Giancarlo Previati', 'Giovanni Esposito', 'Marino Narduzzi', 'Tino Giada', 'Bruno Bilotta', 'Ralf Moeller', 'Marc Ruchmann', 'Massimiliano Belsito', 'Francesca Nerozzi', 'Romina Carancini', 'Jennifer Iacono', 'Claudia Mancinelli', 'Anoushka Ravanshad']",100000000,278731369,41.426678,6.0,103.0,"['Columbia Pictures', 'Spyglass Entertainment', 'Peninsula Films', 'StudioCanal', 'Sony Pictures Releasing', 'GK Films', 'Sony Pictures Worldwide Acquisitions (SPWA)', 'Italian Tax Credit', 'Birnbaum/Barber', 'Cineroma SRL', 'French Tax Credit']",2010,12.0,"American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle.",303817691.38461536,174365684.5
Blood Diamond,"['Drama', 'Thriller', 'Action']","['rebel', 'journalist', 'journalism', 'loss of family', 'slavery', 'mercenary', 'diamond mine', 'sierra leone', 'bootlegger', 'fisherman', 'special unit', 'smuggling', 'genocide in rwanda', 'oppression']",Edward Zwick,"['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers', 'Arnold Vosloo', 'Antony Coleman', 'Benu Mabhena', 'Anointing Lukola', 'David Harewood', 'Basil Wallace', 'Jimi Mistry', 'Michael Sheen', 'Marius Weyers', 'Stephen Collins', 'Ntare Guma Mbaho Mwine ', 'Ato Essandoh', 'David S. Lee', 'Percy Matsemela', 'Klemens Becker', 'Grant Swanby', ""Adetokumboh M'Cormack"", 'Tyrone Keogh']",100000000,170877916,52.792678,7.3,143.0,"['Bedford Falls Productions', 'Lonely Film Productions GmbH & Co. KG.', 'Virtual Studios', 'Spring Creek Productions', 'Warner Bros.', 'Initial Entertainment Group (IEG)', 'Liberty Pictures']",2006,12.0,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",289831839.53333336,243485635.0
The Wolf of Wall Street,"['Crime', 'Drama', 'Comedy']","['corruption', 'sex', 'sexuality', 'bank', 'humor', 'biography', 'wall street', 'marriage crisis', 'rise and fall', 'stockbroker', 'drug', 'stock broker']",Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Kyle Chandler', 'Rob Reiner', 'Matthew McConaughey', 'Jon Bernthal', 'Kenneth Choi', 'P. J. Byrne', 'Brian Sacca', 'Henry Zebrowski', 'Jon Favreau', 'Cristin Milioti', 'Joanna Lumley', 'Jake Hoffman', 'Ethan Suplee', 'Jean Dujardin', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P. J. Byrne', 'Bo Dietl', 'Jon Spinogatti', 'Aya Cash', 'Rizwan Manji', 'Stephanie Kurtzuba', 'J.C. MacKenzie', 'Ashlie Atkinson', 'Stephen Kunken', 'Ted Griffin', 'Sandra Nelson', 'Dan Bittner', 'Spike Jonze', 'Mackenzie Meehan', 'Thomas Middleditch', 'Edward Herrmann', 'Jordan Belfort', 'Fran Lebowitz', 'Robert Clohessy', 'Welker White', 'Danny Flaherty', 'Carla Corvo', 'Madison McKinley', 'Aaron Lazar', 'Steve Routman', 'Steve Witting', 'Charley Morgan', 'Michael Nathanson', 'Kathleen Fellegara', 'John Behlmann', 'Ward Horton', 'Bret Shuford', ""J.T. O'Connor"", 'Steven Boyer', 'Danny A. Abeckaser', 'Matthew Rauch', 'Michael Izquierdo', 'Donnie Keshawarz', 'Johnathan Tchaikovsky', 'Aaron Glaser', 'Ben Rameaka', 'Brian Charles Johnson', 'Sebastian Tillinger', 'Chris Riggi', 'Meghan Rafferty', 'José Ramón Rosario', 'Davram Stiefler', 'Dan Daily', 'Ben Van Bergen', 'Matte Osian', 'Michael Devine', 'Jason Furlani', 'Jeremy Bobb', 'Tom Greer', 'Sharon Jones', 'Emily Tremaine', 'Zineb Oukach', 'Giselle Eisenberg', 'Deema Aitken', 'Ashley Springer', 'Rémy Bennett', 'Catherine Curtin', 'Paul Urcioli', ""Michael O'Hara"", 'Michael Bryan French', 'Armen Garo', 'Garry Pastore', 'Louis Vanaria', 'Peter Youngblood Hills', 'Brendan Griffin', 'Derek Milman', 'Victor Verhaeghe', 'Chris Caldovino', 'Fileena Bahris', 'Silvia Kal', 'Kamron Leal', 'Tommy Bayiokos', 'Gianni Biasetti Jr.', 'Rick Bolander', 'Spenser Granese', 'Julian Brand', 'Kenneth Carrella', 'Austin Farwell', 'Zach Miko', 'Tyler Evan Rowe', 'Stefano Villabona', 'Gregory Brown', 'Tucker Bryan', 'Michael Jefferson', 'Bryan Burton', 'Mike Catapano', 'Steven Conroy', 'Chris J. Cullen', 'Kelsey Deanne', 'Maria Di Angelis', 'Matthew Gooley', 'London Hall', 'Rosemary Howard', 'Chris Kerson', 'Natasha Key', 'Ben Leasure', 'Paul Jude Letersky', 'Will MacAdam', 'Jeff Moffitt', 'Chris Nunez', ""Seregon O'Dassey"", 'Joseph Oliveira', 'And Palladino', 'Michael Power', 'Jon Douglas Rainey', 'Nicole Rutigliano', 'Sibyl Santiago', 'Kathryn Shasha', 'Vitaliy Shtabnoy', 'Blago Simon', 'Paul Thornton', 'Madeleine Wade', 'David Wenzel', 'Joe Zaso', 'Francis Brooke']",100000000,392000694,95.007934,7.9,180.0,"['Paramount Pictures', 'Appian Way', 'EMJAG Productions', 'Red Granite Pictures', 'Sikelia Productions']",2013,12.0,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",289831839.53333336,243032484.5
Cloud Atlas,"['Drama', 'Science Fiction']","['clone', 'future', 'dystopia', 'ensemble cast', 'duringcreditsstinger', 'century', 'woman director', '1930s']",Tom Tykwer,"['Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Bae Doona', 'Ben Whishaw', 'Keith David', ""James D'Arcy"", 'Zhou Xun', 'David Gyasi', 'Susan Sarandon', 'Hugh Grant', 'Robert Fyfe', 'Martin Wuttke', 'Zhu Zhu', 'Robin Morrissey', 'Brody Nicholas Lee', 'Amanda Walker', 'Raevan Lee Hanan', 'Götz Otto', 'Mya-Lecia Naylor', 'Niall Greig Fulton', 'Louis Dempsey', 'Martin Docherty', 'Alistair Petrie', 'Sylvestra Le Touzel', 'Andrew Havill', 'Shaun Lawton', 'Victor Solé']",102000000,130482868,73.872343,6.6,172.0,"['Anarchos Productions', 'X-Filme Creative Pool', 'Ascension Pictures', 'ARD Degeto Film', 'Cloud Atlas Productions', 'Five Drops', 'Media Asia Group', 'Dreams of Dragon Picture']",2012,10.0,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",299116103.0,107608194.0
Legend of the Guardians: The Owls of Ga'Hoole,"['Animation', 'Adventure', 'Family', 'Fantasy']",['owl'],Zack Snyder,"['Emily Barclay', 'Abbie Cornish', 'Essie Davis', 'Joel Edgerton', 'Deborra-Lee Furness', 'Ryan Kwanten', 'Anthony LaPaglia', 'Helen Mirren', 'Sam Neill', 'Richard Roxburgh', 'Adrienne DeFaria', 'Sacha Horler', 'Bill Hunter', 'Miriam Margolyes', 'Barry Otto', 'Geoffrey Rush', 'Angus Sampson', 'Jim Sturgess', 'Hugo Weaving', 'David Wenham', 'Leigh Whannell', 'Gareth Young']",80000000,140073390,37.321848,6.5,97.0,"['Village Roadshow Pictures', 'Warner Bros.', 'Animal Logic', 'Cruel and Unusual Films']",2010,7.0,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",140073390.0,267156198.83333334
Catwoman,"['Action', 'Crime']","['white russian', 'sex', 'dc comics', 'beauty', 'sexism', 'basketball', 'superheroine', 'female protagonist', 'evil corporation', 'catwoman', 'masked superhero', 'cat lady']",Pitof,"['Halle Berry', 'Benjamin Bratt', 'Sharon Stone', 'Lambert Wilson', 'Frances Conroy', 'Alex Borstein', 'Michael Massee', 'Byron Mann', 'Kim Smith', 'Christopher Heyerdahl', 'Peter Wingfield', 'Berend McKenzie', 'Patricia Mayen-Salazar', 'Ona Grauer', 'Landy Cannon', 'Michael P. Northey', 'Aaron Douglas', 'Peter Williams', 'Janet Varney', 'Larry Sullivan', 'James Ashcroft', 'Michasha Armstrong', 'Brooke Theiss', 'Ryan Robbins', 'John Cassini', 'Diego Diablo Del Mar', 'Herbert Duncanson', 'Judith Maxie', 'Dagmar Midcap', 'John Mann', 'Chase Nelson-Murray', 'Manny Petruzzelli', 'Harley Reiner', 'Michael Daingerfield', 'Benita Ha', 'James Lloyd Reynolds', 'Jill Krop', 'Connor Dunn', 'Ashlea Earl', 'Lori Fung', 'Ursula Haczkiewicz', 'Alisoun Payne', 'Laurence Racine', 'Leigh Bush', 'Brett Chan', 'Holly Eglinton', 'Anne Fletcher', 'Angie Jaree', 'Everjoy Kriekenbeek', 'Alfred Liu', 'Aaron Miko', 'Mike Mitchell', 'Stephanie Moseley', 'Kennith Overbey', 'Missy Peregrym', 'Bobby Silva', 'Kimani Ray Smith', 'Shaina Tianne Unger']",100000000,82102379,32.271938,4.2,104.0,"['Village Roadshow Pictures', 'DiNovi Pictures', 'Warner Bros.', 'Frantic Films', 'Maple Shade Films', 'Catwoman Films']",2004,7.0,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.",226400875.46666667,82102379.0
Hercules,"['Action', 'Adventure']","['mercenary', 'battle', 'ancient greece', 'hercules', 'warrior', 'sagen']",Brett Ratner,"['Dwayne Johnson', 'Ian McShane', 'John Hurt', 'Rufus Sewell', 'Aksel Hennie', 'Ingrid Bolsø Berdal', 'Reece Ritchie', 'Joseph Fiennes', 'Tobias Santelmann', 'Peter Mullan', 'Rebecca Ferguson', 'Isaac Andrews', 'Joe Anderson', 'Steve Peacocke', 'Nicholas Moss', 'Irina Shayk', 'Robert Maillet', 'Ian Whyte', 'Barbara Palvin', 'Caroline Boulton', 'Christopher Fairbank', 'John Cross', 'Máté Haumann', 'Matt Devere', 'Robert Whitelock', 'Karolina Szymczak']",100000000,243400000,76.842247,5.6,99.0,"['Paramount Pictures', 'Metro-Goldwyn-Mayer (MGM)', 'Radical Studios', 'Flynn Picture Company']",2014,7.0,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",236355699.47826087,247368901.14285713
Treasure Planet,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']","['cyborg', 'based on novel', 'space marine', 'mutiny', 'loss of father', 'map', 'pirate gang', 'treasure hunt', 'little boy', 'space', 'alien', 'animation', 'money', 'treasure map', 'planet', 'troubled teen', 'space pirate']",Ron Clements,"['Joseph Gordon-Levitt', 'Brian Murray', 'David Hyde Pierce', 'Emma Thompson', 'Michael Wincott', 'Martin Short', 'Laurie Metcalf', 'Roscoe Lee Browne', 'Patrick McGoohan', 'Dane A. Davis', 'Corey Burton', 'Michael McShane', 'Austin Majors', 'Tony Jay', 'Jack Angel', 'Bob Bergen', 'Rodger Bumpass', 'Jane Carr', 'John Cygan', 'Jennifer Darling', 'Paul Eiding', 'Sherry Lynn', 'Mona Marshall', 'Mickie McGowan', 'Patrick Pinney', 'Phil Proctor', 'Jeremy Suarez', 'Jim Ward']",140000000,109578115,38.924136,7.2,95.0,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",2002,11.0,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",181907162.4375,188311940.0
Land of the Lost,"['Adventure', 'Comedy', 'Science Fiction']","['alien life-form', 'dinosaur', 'primate', 'duringcreditsstinger']",Brad Silberling,"['Will Ferrell', 'Anna Friel', 'Danny McBride', 'Jorma Taccone', 'Matt Lauer', ""Bobb'e J. Thompson"", 'Sierra McCormick', 'Shannon Lemke', 'Stevie Wash Jr.', 'Brian Huskey', 'Kevin Buitrago', 'Noah Crawford', 'Jon Kent Ethridge', 'Logan Manus', 'John Boylan', 'Marti Matulis', 'Kiernan Shipka', 'Dylan Sprayberry']",100000000,68688831,19.38841,5.3,102.0,"['Universal Pictures', 'Mosaic Media Group', 'Relativity Media', 'Sid & Marty Krofft Pictures']",2009,6.0,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",129980362.33333333,39349940.5
The Expendables 3,"['Action', 'Adventure', 'Thriller']","['cia', 'arms dealer', 'sequel', 'rescue mission', 'hospital', 'battle', 'sledgehammer', 'revolver']",Patrick Hughes,"['Sylvester Stallone', 'Jason Statham', 'Harrison Ford', 'Arnold Schwarzenegger', 'Mel Gibson', 'Wesley Snipes', 'Randy Couture', 'Dolph Lundgren', 'Terry Crews', 'Kelsey Grammer', 'Glen Powell', 'Antonio Banderas', 'Victor Ortiz', 'Ronda Rousey', 'Kellan Lutz', 'Jet Li', 'Ivan Kostadinov', 'Robert Davi', 'Nikolay Stoyanov Ilchev', 'Daniel Angelov', 'Slavi Slavov', 'Dimiter Doichinov', 'Nikolay Stanoev', 'Harry Anichkin', 'Boswell Maloka', 'Natalie Burn', 'Velizar Binev', 'Sarai Givaty', 'Liubomir Simeonov', 'Frank Pesce', 'Thomas Canestraro']",90000000,206172544,61.025639,6.1,127.0,"['Davis-Films', 'Nu Image Films', 'LionsGate', 'Millennium Films', 'Ex3 Productions', 'Fipex Holding']",2014,8.0,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",134404311.3846154,206172544.0
Point Break,"['Action', 'Crime', 'Thriller']","['undercover', 'undercover agent', 'extreme sports', 'fbi agent', '3d']",Ericson Core,"['Edgar Ramírez', 'Luke Bracey', 'Teresa Palmer', 'Delroy Lindo', 'Ray Winstone', 'Tobias Santelmann', 'James Le Gros', 'BoJesse Christopher', 'Clemens Schick', 'Matias Varela', 'Nikolai Kinski', 'Judah Lewis', 'Senta Dorothea Kirschner', 'Max Thieriot']",105000000,133718711,33.507289,5.5,114.0,"['Studio Babelsberg', 'Alcon Entertainment', 'DMG Entertainment', 'Ehman Productions']",2015,12.0,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",169576618.875,133718711.0
In the Heart of the Sea,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']","['suicide', 'ocean', 'sea', 'hunger', 'shipwreck', 'ship', 'whale', 'based on true story', 'stranded', 'survival', 'whaling', 'death', 'new england', 'lost at sea', 'based on true events', 'whaling ship', 'starvation', '19th century', 'cannibalism', 'reference to moby dick', 'whale oil', 'nantucket']",Ron Howard,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Brendan Gleeson', 'Ben Whishaw', 'Michelle Fairley', 'Tom Holland', 'Paul Anderson', 'Frank Dillane', 'Joseph Mawle', 'Edward Ashley', 'Sam Keeley', 'Osy Ikhile', 'Gary Beadle', 'Jamie Sives', 'Morgan Chetcuti', 'Charlotte Riley', 'Nicholas Jones', 'Donald Sumpter', 'Richard Bremmer', 'Jordi Mollà', 'Hayley Joanne Bacon', 'Andrew Crayford', 'Claudia Newman', 'Daniel Westwood', 'Andy Wareham']",100000000,93820758,50.767332,6.5,122.0,"['Imagine Entertainment', 'Spring Creek Productions', 'Warner Bros.', 'Roth Films', 'K. JAM Media', 'Cott Productions', 'Surf Film', 'Enelmar Productions, A.I.E.']",2015,11.0,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",404578288.0,267854824.875
The Adventures of Pluto Nash,"['Action', 'Comedy', 'Science Fiction']","['moon', 'casino', 'bar', 'nightclub', 'future', 'mafia boss', 'laser gun']",Ron Underwood,"['Eddie Murphy', 'Randy Quaid', 'Rosario Dawson', 'Joe Pantoliano', 'Jay Mohr', 'Luis Guzmán', 'Peter Boyle', 'Burt Young', 'Pam Grier', 'John Cleese', 'Illeana Douglas', 'Alex Sol', 'Heidi Kramer', 'Alissa Kramer']",100000000,7103973,12.092241,4.4,95.0,"['Village Roadshow Pictures', 'Castle Rock Entertainment', 'NPV Entertainment', ""Mel's Cite du Cinema""]",2002,8.0,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.",287369371.35714287,7103973.0
Green Zone,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']","['weapon of mass destruction', 'baghdad', 'iraqi\xa0']",Paul Greengrass,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Jason Isaacs', 'Khalid Abdalla', 'Igal Naor', 'Antoni Corone', 'Said Faraj', ""Michael O'Neill"", 'Jerry Della Salla', 'Faycal Attougui', 'Aymen Hamdouchi', 'Nicoye Banks', 'Sean Huze', 'Michael Dwyer', 'Edouard H.R. Gluck', 'Brian Siefkes', 'Adam Wendling', 'Abdul Henderson', 'Paul Karsko', 'Robert Miller', 'Eugene Cherry', 'Alexander Drum', 'Brian VanRiper', 'Matthew Knott', 'Nathan Lewis', 'John Roberson', 'Troy Brown', 'Raad Rawi', 'Bijan Daneshmand', 'Bryan Reents', 'Michael Judge', 'Patrick St. Esprit', 'Allen Vaught', 'Paul Rieckhoff', 'Martin McDougall', 'Antoni Corone', 'Timothy Ahern', 'Ben Sliney', 'Whitley Bruner', 'Intishal Al Timimi', 'Driss Roukhe', 'Muayad Ali', 'Jamal Selmaoui', 'Mohamed Kafi', 'Kadhum Sabur', 'Hillal Boubker', 'Soumaya Akaaboune', 'Thamou El Metouani', 'Salah Eddine Elamari', 'Naji El Jouhary', 'Aroun Benchkaroun', 'Hajar Machroune', 'Scott Berendes', 'Abdelkrim Assad', 'Michael Diaz', 'Tyler Christen', 'Adam Mackey', 'Ben Holland', 'Jeffrey John Carisalez', 'Jonathan Stone', 'James Hodges', 'Larry Lewis', 'William Oakes', 'Ziad Adwan', 'Ian Bendel', 'Venie Joshua', 'Miguel Berroa', 'Peter Shayhorn', 'Miguel Palaugalarza', 'Christopher Lilly', 'Sabir Ed-Dayab', 'Omar Berdouni', 'Alex Moore', 'Alistair Bailey', 'Eric Loren', 'Paul Cloutier', 'Wallace Bagwell', 'William Meredith', 'Tommy Campbell', 'James Wills', 'Jered Bezemek', 'Johnny Nilsson', 'Salman Hassan', 'Ammar Khdir', 'Youssif Falah-Jassem', 'Latif Al Anzi']",100000000,94882889,30.254021,6.4,115.0,"['Universal Pictures', 'StudioCanal', 'Dentsu', 'Relativity Media', 'Working Title Films']",2010,3.0,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",170245421.7222222,199498668.0
